username,original_comment,comment,sentiment,label
.01rull,AKHIRNYA KALIMANTAN BEBAS ONGKIR🥺🥺,kalimantan bebas ongkos kirim,0.657,1
.azer_03,iya kan rencananya pembuayan ikn bukan ngutang kan ya,iya rencananya pembuayan kota nusantara berhutang yah,-2.8105,0
.hambaallah.com,negara indonesia yang berukasa orang luar negri,pemerintah indonesia berukasa orang negeri,-1.7393,0
.siiapa,"Jakarta nanti jadi sepi dong, terus nasib para pedagang atau yg bekerja di jakarta sebagai kuli serabutan gimana yah?",jakarta sepi nasib pedagang jakarta kuli serabutan yah,-2.4067,0
.vannila_spring_cookie23,bye DKI Jakarta hi IKN penajam 😀🙏,selamat tinggal dki jakarta hi kota nusantara penajam,-0.9576,0
0._8_.0,udah ketebak nanti kalimantan gundul,ketebak kalimantan gundul,-0.0327,0
01_anton,lanjut 3 periode pk jokowi,3 periode jokowi,1.9115,1
080910obay0,pajak nya juga mahal,pajak nya mahal,-2.1081,0
09egy,"pas jdi gubernur, mo fokus di dki, tau2 jdi presiden, bisa ngtsi jkt lbh baik, eh tau2 ibukotanya pindah..?????",pas gubernur fokus dki tahu-tahu presiden mengatasi jakarta eh tahu-tahu kotanya mengubah,-1.4973,0
0rangdalam1,dan semua orang semenjak kecil dididik orang kapitalis pekerja,orang semenjak dididik orang kapitalis pekerja,-2.9332,0
0rgindo,yaelah pemerataan mah noh pemerintah daerahnya pada kmn aja?wkwk,yaelah pemerataan noh pemerintah daerahnya kmn ajawkwk,-2.5245,0
1.oriswarae,gas pak demi kemajuan negara Republik indonesia 👍👍👍,gas kemajuan pemerintah republik indonesia,0.1853,1
123_smrt,mantap,mantap,2.6736,1
1311evi,tapi mimpi,mimpi,0.4764,1
140674fredy,MANTAP PAK PRESIDENKU 👍,mantap presidenku,3.5882,1
14rchie,setujuuuuuu,setuju,0.302,1
1915_2,Saya dgn penuh mendukung pemerintah,penuh mendukung pemerintah,-1.5783,0
1kalajeng_queen,"kalau kamu berdoa minta yg terbaik ,maka bersiaplah kehilangan yg baik menurut mu",berdoa terbaik bersiaplah kehilangan mu,0.3268,1
1niakun,"Menkeu yg udh paham Ama keuangan negara kalah kayanya Ama lu 😂 ampe bawa konstitusi lagi, hutang skrg brp persen PDB negara, org Kaltim juga bang? aku dari muara badak, jalan dari Samarinda ke Bontang ya Allah jeleknya 😂",menkeu paham keuangan pemerintah kalah kayanya lu bawa konstitusi hutang persen pdb pemerintah orang kalimantan timur bang muara badak jalan samarinda bontang yah allah jeleknya,-12.0548,0
200percenthisisme,👍👍👍 Hebat Presiden kita.,hebat presiden,3.365,1
212bay,atur saja mimpi mu pak..\ntapi ingat jangan terus buat sengsara rakyat..🤣,atur mimpi mu sengsara rakyat,-0.3273,0
22_fhebruary,we love you pak 🥰,we cinta,1.0642,1
2rebu1,konser nya juga pada pindah ga ya?,konser nya mengubah yah,-2.0281,0
4b4nk_ulil,no sense of crisis...menganggap bussiness as usual...mati empati....SAKIT JIWA,no sense of crisismenganggap bussiness as usualmati empatisakit jiwa,-0.0344,0
4kbrdisinii_,banjirrrrrr,banjir,-0.0327,0
4ryaraaa,ngindarin banjir,menghindari banjir,-0.0344,0
4sriey,@pacar jaemin men @azyfaa jaya jaya jaya @sal @lvzhi @rty IH IH SUMPAH GAMAUUUU,jaemin men jaya jaya jaya ih ih sumpah,-1.17,0
4u_zakri,biar gak banyak yg demo 😂,biar demonstrasi,-1.1331,0
5atubokepbibd,Semoga minyak goreng harganya bisa turun,semoga minyak goreng harganya turun,-1.2898,0
76halw,"Saya Setuju IKN, kalau Anis yang nantinya menjadi presiden 2024",setuju kota nusantara anis presiden 2024,0.52,1
82746372827us,Priode abis kaga selesai tu ibu kota,periode habis selesai kota,-2.3405,0
92haidar,ktnya mw resesi dan tahun dpan bakalan gelap\nharusnya skrg negeri ini lebih hemat dlm segala hal,resesi dpan gelap negeri hemat,0.6553,1
9gigitupai,pergi ke ibukota X\nibukotanya yang datang ✓,pergi kota x kotanya,-2.5228,0
MS4wLjABAAAAeDEAMCvcqtNuWk-ob94z3xHTzri5qh80SuVjN4RGbKMZrQNX78lcHJz-TJp0u2JF,hebat pak jokowi,hebat jokowi,4.3947,1
MS4wLjABAAAAjzpNWULpBMp1nIQBrHf3oClzHkYMVhk1sPkJIdO2yvU9DB2PwQFPW_Qta_8FN709,bingung,bingung,-0.7276,0
__12hany,msaallah emang bner2 bijak sana dan renda hati,bner2 bijak renda hati,0.1985,1
__narendraa,nanti pertanyaan pertanyaan soal ujian generasi selanjutnya pasti apa nama ibu kota indonesia sebelum nusantara😂😂,ujian generasi nama kota indonesia Indonesia,-3.493,0
_abdi_iiah_,btw air bersih di Kalimantan gak bayar,omong-omong air bersih kalimantan bayar,-1.3389,0
_adhnnn,Pemda Nusantara: bang udah banh,pemerintah daerah Indonesia bang bang,0.0765,1
_alip_luxz,Mantap Pak Jokowi\nIndonesia Jaya jaya jaya 🇮🇩🇮🇩🇮🇩,mantap jokowi indonesia jaya jaya jaya,5.8273,1
_auahlap,betul....bapak hebat ..hrs membuat perubahan besar utk negeri ini...aku salut PD mu,hebat hrs perubahan negeri salut mu,4.4717,1
_aurrlanatasya_,yey Deket banget sama tempat tinggal,hore banget tinggal,1.7733,1
_bbiyu0,kenapa gak dari awal terbangunnya indonesia dibagi rata fungsinya? kenapa hanya terpacu ke jakarta saja?,terbangunnya indonesia dibagi fungsinya terpacu jakarta,-1.4259,0
_cintanyaaku,tapi Jakarta bakal selalu di ingat sih,jakarta,-0.7276,0
_finzz__,Knp Ga D.I.Y,daerah istimewa yogyakarta,-0.7293,0
_franssirlay,yang bakal jadi preman yang di takuti di ibu kota Nusantara siapa yah ?! 😳,preman takuti kota Indonesia yah,-3.9125,0
_indra_wj,biar gak bisa di demo,biar demonstrasi,-1.1331,0
_inisialas29,Negara kalau mau maju itu bukan bikin ikn tapi bikin rakyat ya pDa kaya.,pemerintah majukan kota nusantara rakyat yah kaya,-2.9491,0
_kingnst_10,sangat setuju🥰🥰🥰🥰,setuju,0.302,1
_leon074,"HGB utk asing 160 tahun? Bebas pajak 30 tahun? Gimana tuh Pak? 3 generasi baru bisa kembali tanahnya dong,",hgb asing 160 bebas pajak 30 tuh 3 generasi tanahnya,-1.5437,0
_luluksusiati01,"💪💪💪💪💪💪💪💪👌👍🤝🤝🤝🥰😘🙏🙏🙏🙏🙏🙏bersatu maju ...membagun negara satu sama lain nya kita conto ilmu,,nya amin............🤲🤲🤲🤲",bersatu majukan membagun pemerintah nya conto ilmunya Amin,2.0628,1
_manusiasetengahorang,takut kalimantan tambah banyak polusi dan hewan banyak yg punah,takut kalimantan polusi hewan punah,-1.4225,0
_miriacannn145556,kampung ku jadi kota,kampung kota,-3.5625,0
_nwd___,Saksi sejarah bener.. kitah😁,saksi sejarah,-0.2576,0
_obaa04,"2030 Nanti Kalo udah punya anak, anak nya nanya, Pa Ibu Kota Pertama Indonesia Di Mana Hqha😂",2030 anak anak nya nanya pa kota indonesia hqha,-1.2741,0
_pisces.92,klo alasan pemerataan ekomoni itu salah besar krn jkt ttep jd pusat ekomoni indo.jd gk pngaruh sama sekali mau bangun ikn dmnapun.,alasan pemerataan ekomoni salah jakarta ttep pusat ekomoni indojd pengaruh bangun kota nusantara dmnapun,-1.8224,0
_raindam_,utang negara ja blm lunas😭😭,utang pemerintah aja lunas,-1.6247,0
_ronironay77,itu tanah warisan dari para pahlawan,tanah warisan pahlawan,-0.7276,0
_sate.padan9,"iyaa habis pohon d tebang, hilang paru² dunia",iya habis pohon tebang hilang paru-paru dunia,-3.3572,0
_sucirahmadnyyy,Yeeyyy jd dkt deh ibukota😂,hore deh kota,0.5217,1
_supriyadi14,tetap di Jakarta sbg ibu kota. pindah bukan solusi .,jakarta kota mengubah solusi,-1.4242,0
_t.iia,takut konser ga dijakarta lg 😳,takut konser jakarta,-1.4225,0
aa.printshop,waduk negara dijual Mulu dengan HGB 160thn,waduk pemerintah dijual mulu hgb 160thn,-4.8271,0
aaaaahhhhhha47,Kalau ingin membuat sesuatu yang baru itu artinya bukan memindahkan pak. 🙏🏼,memindahkan,1.575,1
aaariiip,jangan lupa UMR Naik ta Bung jok,lupa umr ta jok,-0.3221,0
aaja_01,tempat kelahiran😄,kelahiran,1.575,1
aammugholib,apah ini bisnis property yang menjanjikan?,bisnis properti menjanjikan,1.3501,1
aangahadiat,"Semoga rahayu, lancar dan sukses pembangunan Pusat Pemerintahan.",semoga rahayu lancar sukses pembangunan pusat pemerintahan,4.9311,1
aanjandro88,Itu tahu ke Palangkaraya kok geser ke PPU-Kukar???,Palangkaraya geser ppukukar,-0.0327,0
aanstya473,Dan Alhamdulillah BBM naik smua barang juga ikut naik terimakasih 🙏🏻,alhamdulillah bbm barang terimakasih,2.4608,1
aapprriiiss,"setuju kalo di kalimantan, disana kita aman, siapapun kita, apa agama kita, apapun suku kita, kita semua diterima disana, toleransi tinggi ..",setuju kalimantan aman agama apapun suku diterima toleransi,-0.9971,0
aariefsyah,mindset baru.... makelar tanah ibu kota😂,mindset makelar tanah kota,-0.7276,0
aariss.k,"tanpa saya sadari saya ngerasa memang Pak Jokowi ada perubahan dari segi public speaking. i dont know, but i love it",sadari jokowi tersedia perubahan segi public speaking i dont know but i cinta it,0.9238,1
aasett0,terlalu berat...entahlah koq sy pesimis yaa,beratentahlah pesimis ya,-0.4328,0
aat_aja,Buat distribusi brng2 jd mudah aksesny,distribusi barang-barang mudah aksesny,0.3693,1
ab.ney11,orang Kalimantan/sekitar nya bilek : akhirnya bisa ngerasain gratis ongkir/ongkir murah,orang kalimantan nya be like merasakan gratis ongkir-ongkir murah,1.257,1
abasfei,Apa Rakyat percaya ....,rakyat percaya,-0.0362,0
abasilo89,semua pasti terwujud asalkan pejabat kita tdk ada yg korupsi,terwujud pejabat tersedia korupsi,-2.9282,0
abbeya67,Bravo bp jokowi..,selamat jokowi,2.7852,1
abcdef9987,gue gk setuju sih,setuju,0.302,1
abdulhalim7500,"kalimantan biaya hidup mahal,",kalimantan biaya hidup mahal,-2.0528,0
abdullahalmubarok2,Berak sekebon,berak sekebon,-0.0327,0
abdullahubaidy,negara RI semakin kuat....mantap,pemerintah indonesia kuat mantap,1.128,1
abdulmajidjonathan,hebat luar hiasa pak Jokowi😁😁😁,hebat hiasa jokowi,4.3947,1
abdulmutalib85666478,"itu ikn atau tema aja di belakang di buat pakai animasi.....ngeluarin anggrana triliun, sebagai negara BESAR HUTANGNYA",kota nusantara tema pakai animasi mengeluarkan anggrana triliun pemerintah hutangnya,-1.4242,0
abdulrajak843,tapi uangnya habis... proyek pun gk siap2.. investor pun gk ada acc.,uangnya habis proyek siap=siap investor tersedia terima,-1.4337,0
abdulrohman1212,😂😂😂😂😂kirain orang aja yg bisa pindah lokasi tau nya ibu kota aja bisa pindah yah,orang mengubah lokasi nya kota mengubah yah,-3.7346,0
abhimuhammadamar,"pindahkn aj ke kota2 yg sudah ad, knp mest bgun dr 0",pindahkan aja kota-kota mest bgun 0,-0.017,0
abiedawie,EKONOMI BENERIN DULU RAKYAT BLANGSAK,ekonomi benerin rakyat blangsak,-2.1173,0
abigemres,bukanya di perbaiki malah di tinggal hebat keren,bukanya perbaiki tinggal hebat keren,7.3382,1
abinurohman390,"saya mah yang penting Indonesia maju,gaji besar dan ga ada utang negara udh simpel",indonesia majugaji tersedia utang pemerintah simpel,-0.0379,0
abizar_ri,"harusnya dipikirkan lebih matang lagi, apa dengan memindahkan akan lebih baik kondisi rakyat Indonesia",dipikirkan matang memindahkan kondisi rakyat indonesia,0.9928,1
abizr282,sehat selalu pak 😭😭❤️❤️❤️🤍,sehat,2.3635,1
